Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,1.147450,1.149500,1.138100,1.139050,1.139050,145884
2018-11-21,1.139100,1.144750,1.138850,1.141100,1.141100,197119
2018-11-23,null,null,null,null,null,null
2018-11-25,null,null,null,null,null,null
2018-11-26,1.135500,1.140250,1.134200,1.134700,1.134700,203792
2018-11-27,1.134850,1.136100,1.129450,1.131200,1.131200,147894
2018-11-28,1.131200,1.140550,1.128300,1.139200,1.139200,200671
2018-11-29,1.138200,1.141550,1.136250,1.140400,1.140400,242326
2018-11-30,1.140250,1.141350,1.131800,1.132200,1.132200,220747
2018-12-02,null,null,null,null,null,null
2018-12-03,1.134650,1.139150,1.133100,1.135450,1.135450,202672
2018-12-04,1.136650,1.143050,1.132900,1.135300,1.135300,196671
2018-12-06,1.135400,1.142000,1.132850,1.138100,1.138100,130235
2018-12-07,1.138450,1.143100,1.136700,1.142950,1.142950,252497
2018-12-09,null,null,null,null,null,null
2018-12-10,1.140700,1.144900,1.135600,1.135850,1.135850,224989
2018-12-11,1.135700,1.140550,1.131100,1.133200,1.133200,317374
2018-12-12,1.132500,1.139200,1.131900,1.137150,1.137150,363418
2018-12-13,1.137500,1.139600,1.133250,1.136750,1.136750,342016
2018-12-14,1.135900,1.136600,1.127000,1.130450,1.130450,348196
2018-12-16,null,null,null,null,null,null
2018-12-17,1.130400,1.135400,1.130300,1.134200,1.134200,139597
2018-12-18,1.137950,1.143300,1.137150,1.138600,1.138600,1454
2018-12-19,1.140450,1.147150,1.139650,1.140250,1.140250,5912
2018-12-20,1.141400,1.151250,1.140500,1.149650,1.149650,3195
2018-12-21,1.147400,1.149350,1.137950,1.139150,1.139150,742
2018-12-23,null,null,null,null,null,null
2018-12-24,null,null,null,null,null,null
2018-12-26,1.143400,1.143650,1.136600,1.137250,1.137250,309
2018-12-27,1.138350,1.146900,1.138350,1.146550,1.146550,1023
2018-12-28,1.144750,1.148300,1.144450,1.145400,1.145400,1910
2018-12-30,null,null,null,null,null,null
2018-12-31,1.145300,1.147650,1.143800,1.146100,1.146100,992
2019-01-02,1.147600,1.150500,1.133900,1.135400,1.135400,137
2019-01-03,1.135800,1.141000,1.132250,1.140000,1.140000,3079
2019-01-04,1.140150,1.142600,1.135550,1.140650,1.140650,1483
2019-01-06,null,null,null,null,null,null
2019-01-07,1.141500,1.148750,1.141500,1.148550,1.148550,1302
2019-01-08,1.148600,1.149050,1.143000,1.144750,1.144750,2140
2019-01-09,1.146650,1.155900,1.145500,1.154900,1.154900,2116
2019-01-10,1.155200,1.157050,1.150000,1.150150,1.150150,1423
2019-01-11,1.149900,1.153100,1.146500,1.146650,1.146650,967
2019-01-13,null,null,null,null,null,null
2019-01-14,1.146650,1.147400,1.145800,1.146750,1.146750,1844
2019-01-15,1.151750,1.151750,1.141800,1.143350,1.143350,801
2019-01-16,1.144050,1.145150,1.141150,1.142950,1.142950,928
2019-01-17,1.142600,1.142800,1.139850,1.141800,1.141800,280
2019-01-18,1.142150,1.143650,1.138400,1.139800,1.139800,1355
2019-01-20,null,null,null,null,null,null
2019-01-22,1.139300,1.141300,1.137000,1.138800,1.138800,606
2019-01-23,1.138800,1.141850,1.137600,1.140850,1.140850,1123
2019-01-24,1.139800,1.140200,1.131700,1.132150,1.132150,2114
2019-01-25,1.132400,1.143700,1.132400,1.143550,1.143550,1419
2019-01-27,null,null,null,null,null,null
2019-01-28,1.142800,1.145650,1.141500,1.144900,1.144900,1145
2019-01-29,1.144400,1.146800,1.143350,1.144800,1.144800,696
2019-01-30,1.145800,1.151050,1.142650,1.151050,1.151050,1635
2019-01-31,1.150000,1.152400,1.145800,1.145950,1.145950,2030
2019-02-01,1.146100,1.149900,1.145200,1.147450,1.147450,2225
2019-02-03,null,null,null,null,null,null
2019-02-04,1.146000,1.146450,1.144000,1.144500,1.144500,2039
2019-02-05,1.143700,1.144200,1.141900,1.142150,1.142150,511
2019-02-06,1.141400,1.141400,1.137200,1.137550,1.137550,2551
2019-02-07,1.137500,1.137700,1.133300,1.135900,1.135900,1585
2019-02-08,1.134800,1.135800,1.133000,1.133000,1.133000,1855
2019-02-10,null,null,null,null,null,null
2019-02-11,1.133200,1.133200,1.127900,1.128250,1.128250,2279
2019-02-12,1.128200,1.133750,1.126350,1.133750,1.133750,1995
2019-02-13,1.134200,1.134250,1.126850,1.127500,1.127500,2775
2019-02-14,1.127300,1.130300,1.126500,1.130200,1.130200,472
2019-02-15,1.127550,1.127750,1.123750,1.127150,1.127150,3455
2019-02-17,null,null,null,null,null,null
2019-02-19,1.131850,1.138350,1.130050,1.136550,1.136550,181232
2019-02-20,1.136250,1.139650,1.134900,1.137500,1.137500,282210
2019-02-21,1.136350,1.138800,1.134050,1.135750,1.135750,175231
2019-02-22,1.135500,1.137700,1.133600,1.135900,1.135900,198651
2019-02-24,null,null,null,null,null,null
2019-02-25,1.135500,1.138750,1.135450,1.138450,1.138450,141185
2019-02-26,1.137700,1.142150,1.136350,1.141550,1.141550,118394
2019-02-27,1.141100,1.142150,1.138000,1.138800,1.138800,187286
2019-02-28,1.138650,1.143650,1.137450,1.139350,1.139350,141669
2019-03-01,1.138650,1.142300,1.136700,1.137150,1.137150,201724
2019-03-03,null,null,null,null,null,null
2019-03-04,1.138800,1.139350,1.132100,1.134350,1.134350,157333
2019-03-05,1.134900,1.135100,1.130150,1.131450,1.131450,156233
